0,161,200,161,1,161,161,161,159,161,175
1,161,200,1,161,65,161,159,161,161,175
2,1,200,161,161,65,161,159,161,161,175
3,161,161,1,161,65,159,161,161,161,175
4,161,98,1,161,65,161,159,161,161,175
5,200,200,161,161,65,159,161,161,161,175
6,98,1,161,161,65,161,159,161,161,175
7,161,161,200,161,65,159,161,161,161,175
8,161,98,65,161,1,161,161,159,161,175
9,1,200,161,161,65,159,161,161,161,175
10,161,1,161,65,161,161,161,159,161,175
11,161,200,65,161,161,161,159,161,161,175
12,200,175,161,200,65,161,159,161,161,175
13,161,161,200,161,65,159,161,161,161,175
14,200,1,161,161,161,161,161,159,161,175
15,200,161,161,1,65,161,161,159,161,175
16,161,200,1,161,65,161,159,161,161,175
17,161,65,161,161,200,161,161,159,161,175
18,161,161,98,1,65,161,159,161,161,175
19,161,161,200,161,65,159,161,161,161,175
20,200,116,161,65,161,159,161,161,161,175
21,200,200,161,161,159,65,161,161,161,175
22,200,161,1,161,65,161,159,161,161,175
23,200,161,161,161,65,159,161,161,161,175
24,1,161,161,200,65,161,159,161,161,175
25,65,175,161,200,161,161,159,161,161,175
26,161,65,161,161,1,161,159,161,161,175
27,161,161,200,161,65,159,161,161,161,175
28,161,200,161,161,65,161,159,161,161,175
29,161,200,161,1,65,161,159,161,161,175
30,1,200,161,161,65,159,161,161,161,175
31,161,65,161,161,1,161,161,159,161,175
32,200,161,161,161,65,159,161,161,161,175
33,200,161,200,161,159,65,161,161,161,175
34,200,200,161,161,159,65,161,161,161,175
35,116,200,161,65,161,161,159,161,161,175
36,161,161,200,65,161,159,161,161,161,175
37,200,161,161,1,65,161,159,161,161,175
38,161,161,65,200,161,161,161,159,161,175
39,98,161,1,161,65,161,159,161,161,175
40,161,200,161,161,65,159,161,161,161,175
41,200,1,161,65,161,161,159,161,161,175
42,161,175,65,200,161,161,159,161,161,175
43,200,161,116,161,65,159,161,161,161,175
44,161,161,1,65,161,161,159,161,161,175
45,200,98,161,161,161,159,161,161,161,175
46,200,161,161,161,1,161,161,159,161,175
47,161,98,65,1,161,161,159,161,161,175
48,161,161,200,161,65,161,159,161,161,175
49,161,161,1,161,65,161,159,161,161,175
50,161,161,65,200,161,161,159,161,161,175
51,1,200,161,161,65,159,161,161,161,175
52,175,1,65,200,161,161,161,159,161,175
53,116,200,161,161,65,159,161,161,161,175
54,116,200,161,161,159,65,161,161,161,175
55,200,161,161,65,161,159,161,161,161,175
56,200,1,161,65,161,161,159,161,161,175
57,161,161,161,1,65,161,159,161,161,175
58,161,161,161,1,65,161,159,161,161,175
59,161,1,200,65,161,161,161,159,161,175
60,116,161,200,161,65,159,161,161,161,175
61,161,161,200,161,65,159,161,161,161,175
62,98,1,161,161,65,159,161,161,161,175
63,161,200,161,65,159,161,161,161,161,175
64,1,98,1,161,65,161,159,161,161,175
65,98,161,161,161,65,159,161,161,161,175
66,161,1,200,65,161,161,161,159,161,175
67,1,161,161,161,65,159,161,161,161,175
68,161,161,161,200,65,161,159,161,161,175
69,116,200,161,161,65,159,161,161,161,175
70,161,175,65,161,200,161,159,161,161,175
71,161,65,161,1,161,161,159,161,161,175
72,200,1,98,161,65,161,159,161,161,175
73,200,200,161,161,65,159,161,161,161,175
74,161,161,161,200,65,159,161,161,161,175
75,200,161,161,65,1,161,161,159,161,175
76,1,200,161,161,65,159,161,161,161,175
77,1,200,161,161,65,159,161,161,161,175
78,161,65,1,161,161,159,161,161,161,175
79,98,161,1,65,161,161,161,159,161,175
80,161,161,161,1,65,161,159,161,161,175
81,161,200,161,65,161,161,159,161,161,175
82,161,161,65,161,1,161,159,161,161,175
83,161,161,65,161,1,161,159,161,161,175
84,200,161,161,1,65,161,159,161,161,175
85,161,161,1,98,65,161,159,161,161,175
86,116,200,161,161,65,161,159,161,161,175
87,161,161,98,65,1,161,161,159,161,175
88,200,161,98,1,65,161,159,161,161,175
89,116,200,161,161,65,161,159,161,161,175
