recipe_id,product_id
0,135
0,85
0,75
0,32
0,88
0,95
0,110
0,2
0,39
0,101
0,133
1,72
1,61
1,153
1,84
1,55
1,136
1,103
1,145
1,85
1,106
1,114
1,88
1,2
1,106
1,5
1,126
1,75
1,61
2,101
2,144
2,156
2,85
2,147
2,178
2,99
2,82
2,136
2,99
2,6
2,97
2,80
2,98
2,126
2,134
2,84
2,173
3,108
3,49
3,133
3,172
3,114
3,8
3,99
3,75
3,7
3,133
3,76
4,10
4,38
4,151
4,56
6,88
6,49
6,7
6,94
8,141
8,84
8,151
8,122
8,22
8,126
8,6
8,99
8,88
9,181
9,6
9,85
9,120
9,2
9,176
9,49
9,105
9,58
9,84
9,154
10,85
10,85
10,173
10,111
10,109
10,114
10,67
10,7
10,49
10,2
14,88
14,16
14,24
14,84
14,29
14,137
14,83
14,205
14,136
14,85
14,15
14,80
15,98
15,73
15,82
15,70
15,2
15,61
15,71
15,79
15,159
15,71
15,87
16,126
16,101
16,75
16,108
16,133
16,2
16,136
16,72
16,165
16,118
16,49
16,84
19,32
19,85
19,75
19,106
19,98
19,95
19,77
19,159
19,79
19,82
19,149
19,126
19,80
19,2
20,122
20,92
20,131
20,84
20,82
20,88
20,75
21,207
21,141
21,113
21,98
21,49
21,149
21,101
21,133
21,84
21,136
21,108
21,193
21,201
22,109
22,5
22,71
22,2
22,16
22,6
22,126
22,82
22,106
22,188
22,88
22,113
22,75
22,144
22,193
22,114
22,84
22,80
24,99
24,151
24,121
24,97
24,24
24,206
24,84
24,3
24,121
25,49
25,55
25,84
27,193
27,75
27,172
27,2
27,80
27,55
27,188
27,5
27,76
27,175
27,98
27,84
27,77
29,69
29,85
29,75
29,120
29,161
29,154
29,49
29,178
29,166
29,106
29,126
29,97
29,153
29,87
29,84
29,2
29,69
29,85
29,154
30,154
30,133
30,6
30,106
30,98
30,97
30,49
30,75
30,5
30,85
30,79
30,70
30,126
30,79
30,84
30,2
31,2
31,114
31,92
31,61
31,88
31,84
31,5
31,109
31,80
31,114
31,72
31,85
31,75
31,136
32,85
32,85
32,109
32,149
32,61
32,6
32,201
32,108
32,49
32,84
32,133
32,7
32,98
32,66
33,181
33,79
33,84
33,55
33,2
33,144
33,75
33,143
33,85
33,49
33,76
33,159
33,10
33,5
34,85
34,83
34,84
34,106
34,106
34,79
34,106
34,149
34,98
34,173
34,6
34,99
34,43
34,97
34,2
37,12
37,131
37,113
37,88
37,80
37,114
37,6
37,2
38,135
38,200
38,77
38,179
38,39
38,148
38,72
38,69
38,75
38,114
38,87
38,6
38,110
38,49
38,107
38,2
38,98
39,157
39,159
39,79
39,10
39,87
39,51
39,71
39,72
39,82
40,146
40,121
40,98
40,84
40,38
40,6
40,141
40,34
41,116
41,5
41,188
41,126
41,126
41,82
41,154
41,85
41,80
41,159
41,85
41,113
41,84
41,85
41,133
41,10
41,71
43,124
43,170
43,39
43,92
43,114
43,39
43,39
43,133
43,72
43,99
43,124
43,118
43,72
43,80
43,85
44,121
44,170
44,6
44,50
44,124
44,84
44,38
44,97
44,6
44,126
45,121
45,126
45,151
45,200
45,3
45,107
45,6
45,141
45,97
45,84
45,69
45,99
45,126
45,121
45,18
46,49
46,2
46,148
46,133
46,84
46,108
46,33
48,126
48,108
48,2
48,169
48,84
48,27
48,49
48,106
48,106
48,72
48,49
48,6
48,16
49,38
49,121
49,98
49,121
49,97
49,8
49,84
50,49
50,2
50,106
50,169
50,153
50,67
50,108
50,122
50,75
50,126
50,108
50,113
53,154
53,153
53,85
53,154
53,126
53,84
53,85
53,2
54,99
54,7
54,113
54,206
54,95
54,69
54,192
54,80
54,92
54,173
54,108
54,185
54,80
54,186
54,109
54,3
54,69
54,76
55,75
55,71
55,99
55,190
55,79
55,49
55,26
55,98
55,101
55,2
56,30
56,50
56,6
56,98
56,75
56,114
56,85
56,88
56,174
58,85
58,49
58,126
58,2
58,99
58,84
58,118
58,75
59,6
59,120
59,159
59,121
59,97
59,126
60,114
60,173
60,82
60,193
60,80
60,85
60,114
60,2
60,75
60,6
60,114
61,141
61,133
61,3
61,77
61,69
61,88
61,149
61,113
62,101
62,2
62,98
62,93
62,1
62,83
62,206
62,88
62,110
63,72
63,106
63,49
63,177
63,2
63,149
63,98
63,169
63,80
63,153
63,106
63,50
63,85
63,122
63,26
63,105
63,108
63,61
63,6
63,122
63,32
63,84
64,126
64,97
64,106
64,2
64,84
64,85
64,153
64,176
64,49
64,85
65,102
65,75
65,105
65,1
65,88
65,84
65,72
65,16
67,101
67,118
67,75
67,144
67,16
67,81
67,136
67,85
67,84
67,2
67,3
67,148
67,76
68,99
68,49
68,84
68,77
68,3
68,185
68,39
68,150
68,85
68,49
68,75
68,108
68,175
68,112
68,2
68,124
68,76
68,156
69,99
69,88
69,61
69,85
69,84
69,118
69,75
69,205
69,2
70,72
70,75
70,136
70,85
70,2
70,88
70,176
70,84
70,12
72,10
72,175
72,2
72,126
72,148
72,75
72,4
72,93
72,84
72,136
72,88
72,85
73,99
73,137
73,89
73,84
73,69
73,137
73,13
73,117
74,7
74,108
74,5
74,173
74,80
74,105
74,110
74,109
74,49
74,75
75,49
75,118
75,133
75,106
75,105
75,126
75,108
75,141
75,85
75,126
75,4
75,169
75,148
75,79
75,75
75,2
76,72
76,71
76,82
76,136
76,159
76,2
76,61
76,79
76,55
76,109
76,5
77,108
77,6
77,75
77,105
77,85
77,85
77,110
77,61
77,78
